filename, language, JavaScript, JSON, HTML, CSS, comment, blank, total
config\db.js, JavaScript, 39, 0, 0, 0, 7, 9, 55
config\env.js, JavaScript, 7, 0, 0, 0, 3, 3, 13
config\error.js, JavaScript, 8, 0, 0, 0, 4, 5, 17
config\index.js, JavaScript, 29, 0, 0, 0, 0, 1, 30
config\keys.js, JavaScript, 6, 0, 0, 0, 3, 2, 11
config\session.js, JavaScript, 15, 0, 0, 0, 6, 5, 26
config\types.js, JavaScript, 8, 0, 0, 0, 3, 3, 14
controller\cart.js, JavaScript, 78, 0, 0, 0, 35, 7, 120
controller\coupon.js, JavaScript, 79, 0, 0, 0, 26, 7, 112
controller\farm.js, JavaScript, 124, 0, 0, 0, 26, 8, 158
controller\goods.js, JavaScript, 102, 0, 0, 0, 26, 8, 136
controller\order.js, JavaScript, 85, 0, 0, 0, 24, 6, 115
controller\socket.js, JavaScript, 34, 0, 0, 0, 15, 6, 55
controller\supplier.js, JavaScript, 182, 0, 0, 0, 55, 17, 254
controller\user.js, JavaScript, 181, 0, 0, 0, 81, 20, 282
core\init.js, JavaScript, 82, 0, 0, 0, 38, 12, 132
core\redis.js, JavaScript, 37, 0, 0, 0, 14, 6, 57
core\socket.js, JavaScript, 206, 0, 0, 0, 40, 18, 264
core\validator.js, JavaScript, 231, 0, 0, 0, 96, 21, 348
db\model\Coupon\coupon_history.js, JavaScript, 33, 0, 0, 0, 4, 4, 41
db\model\Coupon\coupon_info.js, JavaScript, 33, 0, 0, 0, 20, 4, 57
db\model\Farm\crop_info.js, JavaScript, 32, 0, 0, 0, 4, 5, 41
db\model\Farm\farm_crop.js, JavaScript, 22, 0, 0, 0, 4, 5, 31
db\model\Farm\farm_info.js, JavaScript, 73, 0, 0, 0, 4, 5, 82
db\model\Good\good_info.js, JavaScript, 65, 0, 0, 0, 4, 5, 74
db\model\Good\good_supplier.js, JavaScript, 52, 0, 0, 0, 4, 5, 61
db\model\Order\farm_order.js, JavaScript, 37, 0, 0, 0, 4, 5, 46
db\model\Order\farm_order_detail.js, JavaScript, 57, 0, 0, 0, 4, 5, 66
db\model\Order\order_cart.js, JavaScript, 42, 0, 0, 0, 4, 5, 51
db\model\Order\order_detail.js, JavaScript, 52, 0, 0, 0, 4, 5, 61
db\model\Order\order_info.js, JavaScript, 43, 0, 0, 0, 4, 5, 52
db\model\Socket\chat_info.js, JavaScript, 49, 0, 0, 0, 4, 4, 57
db\model\User\user_address.js, JavaScript, 53, 0, 0, 0, 4, 4, 61
db\model\User\user_info.js, JavaScript, 39, 0, 0, 0, 5, 4, 48
db\model\User\user_integral.js, JavaScript, 22, 0, 0, 0, 4, 4, 30
db\model\index.js, JavaScript, 81, 0, 0, 0, 27, 19, 127
db\redisStore.js, JavaScript, 22, 0, 0, 0, 5, 5, 32
db\seq.js, JavaScript, 27, 0, 0, 0, 24, 10, 61
db\sync.js, JavaScript, 17, 0, 0, 0, 5, 3, 25
json\good.json, JSON, 0, 10, 0, 0, 0, 1, 11
middlewares\auth.js, JavaScript, 33, 0, 0, 0, 10, 5, 48
middlewares\exception.js, JavaScript, 29, 0, 0, 0, 9, 3, 41
model\coupon.js, JavaScript, 39, 0, 0, 0, 7, 7, 53
model\error.js, JavaScript, 86, 0, 0, 0, 12, 11, 109
model\order.js, JavaScript, 12, 0, 0, 0, 4, 4, 20
model\socket.js, JavaScript, 20, 0, 0, 0, 3, 3, 26
model\success.js, JavaScript, 12, 0, 0, 0, 3, 3, 18
model\user.js, JavaScript, 84, 0, 0, 0, 12, 12, 108
routes\cart.js, JavaScript, 36, 0, 0, 0, 7, 7, 50
routes\coupon.js, JavaScript, 36, 0, 0, 0, 8, 6, 50
routes\farm.js, JavaScript, 80, 0, 0, 0, 8, 6, 94
routes\goods.js, JavaScript, 52, 0, 0, 0, 10, 7, 69
routes\home.js, JavaScript, 112, 0, 0, 0, 3, 5, 120
routes\mock.js, JavaScript, 154, 0, 0, 0, 22, 6, 182
routes\order.js, JavaScript, 53, 0, 0, 0, 10, 8, 71
routes\socket.js, JavaScript, 38, 0, 0, 0, 8, 8, 54
routes\supplier.js, JavaScript, 71, 0, 0, 0, 12, 11, 94
routes\user.js, JavaScript, 116, 0, 0, 0, 15, 14, 145
routes\utils.js, JavaScript, 31, 0, 0, 0, 7, 6, 44
services\cart.js, JavaScript, 110, 0, 0, 0, 26, 7, 143
services\coupon.js, JavaScript, 69, 0, 0, 0, 34, 9, 112
services\farm.js, JavaScript, 185, 0, 0, 0, 46, 14, 245
services\goods.js, JavaScript, 84, 0, 0, 0, 24, 8, 116
services\order.js, JavaScript, 142, 0, 0, 0, 44, 13, 199
services\socket.js, JavaScript, 74, 0, 0, 0, 19, 6, 99
services\supplier.js, JavaScript, 70, 0, 0, 0, 24, 8, 102
services\user.js, JavaScript, 187, 0, 0, 0, 67, 14, 268
utils\cryp.js, JavaScript, 11, 0, 0, 0, 7, 5, 23
utils\env.js, JavaScript, 9, 0, 0, 0, 3, 3, 15
utils\queue.js, JavaScript, 32, 0, 0, 0, 21, 4, 57
utils\token.js, JavaScript, 9, 0, 0, 0, 4, 4, 17
utils\util.js, JavaScript, 44, 0, 0, 0, 27, 7, 78
validators\good.js, JavaScript, 31, 0, 0, 0, 4, 3, 38
validators\user.js, JavaScript, 104, 0, 0, 0, 28, 9, 141
views\404.html, HTML, 0, 0, 12, 0, 1, 1, 14
views\client.html, HTML, 0, 0, 84, 0, 0, 1, 85
views\error.html, HTML, 0, 0, 12, 0, 1, 1, 14
views\error.js, JavaScript, 14, 0, 0, 0, 5, 4, 23
views\service.html, HTML, 0, 0, 107, 0, 0, 2, 109
views\socket.css, CSS, 0, 0, 0, 43, 0, 1, 44
views\socket.io.js, JavaScript, 3, 0, 0, 0, 6, 0, 9
views\supplier.html, HTML, 0, 0, 117, 0, 0, 2, 119
Total, -, 4656, 10, 332, 43, 1205, 534, 6780